Alimento	Categoria	Acqua	Proteine	Lipidi	Carboidrati	Zuccheri	Amido	Fibra
Spinaci	Verdura	90.1	3.4	0.7	2.9	0.4	2.3	1.9
Storione	Pesce	72.5	19.2	7.6	0.001	0.001	0.001	0.001
Stracchino	Latticini	53.5	18.5	25.1	0.1	0.1	0.001	0.001
Strutto	Carne	0.5	0.3	99	0.001	0.001	0.001	0.001
Tacchino_fesa	Carne	73.9	24	1.2	0.001	0.001	0.001	0.001
Taleggio	Latticini	51.8	19	26.2	0.9	0.9	0.001	0.001
Tarassaco_o_dente_di_leone_fresco	Verdura	90	3.1	1.1	3.7	3.7	0.001	0.001
Tinca	Pesce	78.5	17.9	0.5	0.9	0.9	0.001	0.001
Tonno	Pesce	67.5	21.5	8.1	0.1	0.1	0.001	0.001
Triglia	Pesce	75.3	15.8	6.2	1.1	1.1	0.001	0.001
Trota	Pesce	80.5	14.7	3	0.001	0.001	0.001	0.001
Uova_di_anatra	Uova	70.9	12.2	15.4	0.7	0.7	0.001	0.001
Uova_di_gallina	Uova	77.1	12.4	8.7	0.1	0.1	0.001	0.001
Uova_di_oca	Uova	69.7	13.8	14.4	1	1	0.001	0.001
Uova_di_tacchina	Uova	72.6	12.8	10.2	1	1	0.001	0.001
Uva	Frutta	81.3	0.5	0.1	15.6	15.6	0.001	1.5
Vitello_filetto	Carne	76.9	20.7	0.001	0.001	0.001	0.001	0.001
Vongola	Pesce	80.6	9.8	0.001	3.9	0.001	3.6	0.001
Zucca_gialla	Verdura	94.6	1.1	0.1	3.5	2.5	0.9	5.5
Zucchine	Verdura	93.6	1.5	0.1	1.7	1.8	0.1	1.2
